prs_PersoonsID,AfstandSchool,pcp_Regio,isc_VanDatum,isc_OpleidingsCode,LeeftijdMaandenEersteInschr,NrStdInEersteKlas,Geslacht,AantalOplVOORICAIngeschreven,PCertificaat_Opl,PropCertificaatDatum,HeeftP,VoorOpleidingsNiveau,HeeftWisInVooropleiding,Aanwezigheid1ejaar,EersteToetsCijfer,GemToetsCijferEerstePeriode,HeeftBijzOmstandigheden
256798,4,Nijmegen,2015,ICT,362,24,Man,3,Niet Behaald,0,0,HAVO,1,4.5,0,0,0
267519,14,Nijmegen,2013,TIN,291,21,Man,3,Niet Behaald,0,0,HAVO,1,0.0,26,26,?
272450,6,Arnhem,2014,BIM,359,19,Man,4,Niet Behaald,0,0,VWO,1,17.5,51,53,?
286793,20,Nijmegen,2017,ICT,344,27,Man,2,Niet Behaald,0,0,HAVO,1,8.8,0,0,1
302941,44,Amersfoort,2013,IN-4479,301,20,Vrouw,3,INF,6/30/2015,1,MBO,0,71.4,85,69,?
303564,22,Ede Wageningen,2017,ICT,346,19,Man,2,ICT,6/27/2018,1,HAVO,1,84.9,89,86,0
305297,42,Winterswijk,2013,IN-4479,266,24,Man,3,Niet Behaald,0,0,HAVO,0,100.0,49,48,?
309224,4,Arnhem,2014,IN-4479,294,19,Man,4,INF,6/30/2015,1,HAVO,1,96.3,95,74,?
314154,6,Arnhem,2014,IN-4479,293,25,Man,4,Niet Behaald,0,0,HAVO,0,6.7,75,61,?
325148,7,Nijmegen,2017,ICT,325,22,Man,1,ICT,6/26/2019,1,MBO,1,87.8,56,71,0
325338,1,Arnhem,2014,BIM,314,26,Man,4,Niet Behaald,0,0,MBO,?,88.2,72,54,?
334454,1,Nijmegen,2014,INF,339,27,Man,3,Niet Behaald,0,0,MBO,?,73.4,17,39,?
335110,13,Zevenaar,2013,BIM,273,23,Man,4,BIM,7/1/2014,1,HAVO,1,100.0,63,61,?
338952,29,Noord Gld Overijssel,2015,ICT,284,32,Man,2,Niet Behaald,0,0,HAVO,1,21.9,76,51,0
341640,0,Arnhem,2014,IN-4479,290,25,Man,3,INF,6/27/2016,1,HAVO,1,66.0,73,56,?
344429,2,Nijmegen,2019,ICT,350,36,Man,1,Niet Behaald,0,0,MBO,?,63.2,52,45,0
345770,12,Nijmegen,2014,IN-4479,288,25,Man,3,INF,6/27/2016,1,MBO,?,92.7,75,63,?
352700,3,Nijmegen,2014,TIF,254,26,Man,2,TIF,6/27/2016,1,MBO,?,79.5,90,56,?
359030,26,Den Bosch Eindhoven,2014,INF,261,26,Man,4,INF,6/30/2015,1,HAVO,1,75.5,75,69,?
361395,1,Arnhem,2016,ICT,298,26,Man,2,Niet Behaald,0,0,HAVO,1,0.0,0,0,0
368523,25,Apeldoorn,2014,IN-4479,251,29,Man,3,Niet Behaald,0,0,HAVO,1,0.0,100,100,?
369653,21,Ede Wageningen,2014,IN-4479,263,26,Vrouw,3,INF,6/30/2015,1,HAVO,1,100.0,88,70,?
370674,12,Zevenaar,2014,BIMA,272,25,Man,3,CMD,6/30/2015,1,MBO,1,89.0,66,61,?
371532,8,Arnhem,2013,IN-4479,265,24,Man,5,INF,7/1/2014,1,HAVO,1,100.0,86,64,?
371558,32,Doetinchem,2016,ICT,297,31,Man,2,ICT,6/30/2017,1,MBO,1,91.2,83,84,0
378026,14,Nijmegen,2013,TIN,275,21,Man,2,INF,7/1/2014,1,VWO,1,100.0,76,80,?
389421,2,Nijmegen,2014,BIM,273,25,Man,6,Niet Behaald,0,0,HAVO,1,57.7,71,49,?
398304,39,Zuiden,2014,IN-4479,276,25,Man,3,INF,6/30/2015,1,HAVO,1,92.6,84,70,?
399737,3,Zevenaar,2013,IN-4479,271,22,Man,2,Niet Behaald,0,0,MBO,?,50.0,72,61,?
400294,3,Arnhem,2013,BIM,270,20,Man,4,INF,6/30/2015,1,HAVO,1,71.4,40,57,?
400838,12,Zevenaar,2013,IN-4479,248,20,Man,2,Niet Behaald,0,0,HAVO,1,100.0,73,63,?
401865,2,Nijmegen,2014,INF,266,25,Man,3,Niet Behaald,0,0,HAVO,1,61.1,55,54,?
402460,9,Zevenaar,2014,IN-4479,244,29,Man,3,INF,6/27/2016,1,HAVO,0,80.0,68,67,?
402642,17,Den Bosch Eindhoven,2014,INF,262,26,Man,3,Niet Behaald,0,0,HAVO,1,0.0,74,51,?
403129,6,Nijmegen,2014,INF,287,27,Man,4,Niet Behaald,0,0,HAVO,1,3.9,0,0,?
403711,3,Nijmegen,2014,INF,274,25,Man,3,INF,6/27/2016,1,HAVO,1,80.6,82,59,?
403877,16,Nijmegen,2015,ICT,329,6,Man,1,Niet Behaald,0,0,MBO,?,61.7,59,54,0
404479,15,Zevenaar,2013,IN-4479,228,21,Man,3,INF,6/30/2015,1,HAVO,1,100.0,99,73,?
404678,29,Doetinchem,2015,ICT,277,25,Man,4,Niet Behaald,0,0,HAVO,1,80.3,60,59,0
404998,80,Zuiden,2014,INF,273,26,Man,5,Niet Behaald,0,0,HAVO,1,55.1,55,48,?
407433,21,Utrecht,2014,INF,256,31,Man,2,CMD,6/27/2018,1,HAVO,1,50.5,70,72,?
407659,5,Nijmegen,2014,INF,249,26,Man,3,INF,6/30/2015,1,HAVO,1,83.5,90,47,?
407910,35,Zuiden,2014,INF,274,25,Man,4,Niet Behaald,0,0,MBO,?,92.0,69,44,?
407980,26,Veenendaal,2013,BIM,282,31,Man,4,INF,6/30/2015,1,MBO,?,100.0,81,61,?
408142,12,Nijmegen,2013,IN-4479,242,23,Man,2,Niet Behaald,0,0,HAVO,0,85.7,56,40,?
408753,11,Zevenaar,2014,IN-4479,262,28,Man,6,Niet Behaald,0,0,HAVO,1,15.6,50,50,?
409361,18,Zevenaar,2014,INF,255,26,Man,2,INF,6/30/2015,1,HAVO,1,79.6,79,72,?
409568,6,Arnhem,2014,IN-4479,268,26,Man,3,INF,6/30/2017,1,HAVO,1,41.2,66,54,?
409865,2,Arnhem,2013,IN-4479,261,23,Man,5,INF,6/30/2015,1,HAVO,1,0.0,75,71,?
413945,10,Nijmegen,2013,BIM,263,24,Man,2,INF,6/30/2015,1,MBO,?,100.0,67,58,?
422989,20,Ede Wageningen,2013,IN-4479,234,23,Man,3,INF,6/30/2015,1,HAVO,1,100.0,78,66,?
424347,34,Deventer,2013,TIN,252,24,Man,4,Niet Behaald,0,0,HAVO,1,75.0,85,41,?
424490,117,Zuiden,2015,INF,282,4,Man,3,Niet Behaald,0,0,MBO,?,22.4,87,92,?
428465,3,Nijmegen,2015,ICT,253,31,Man,3,ICT,6/27/2016,1,HAVO,1,96.0,86,78,0
430016,10,Nijmegen,2014,BIM,242,31,Man,4,Niet Behaald,0,0,Buitenlands,?,48.3,89,55,?
430209,6,Zevenaar,2014,BIM,286,24,Man,3,BIM,3/31/2015,1,MBO,?,65.1,66,60,?
431300,9,Zevenaar,2013,IN-4479,234,33,Man,3,INF,7/1/2014,1,HAVO,1,100.0,77,70,?
431411,87,Westen,2014,BIM,246,28,Vrouw,3,Niet Behaald,0,0,HAVO,1,48.8,17,39,?
431652,26,Den Bosch Eindhoven,2014,INF,229,26,Man,3,INF,6/27/2016,1,HAVO,1,88.4,94,63,?
431956,38,Veenendaal,2014,BIM,254,29,Man,3,Niet Behaald,0,0,MBO,?,81.3,46,32,?
432265,15,Zevenaar,2014,IN-4479,252,19,Man,3,Niet Behaald,0,0,MBO,1,6.1,62,58,?
432328,1,Nijmegen,2017,ICT,287,30,Man,2,ICT,6/27/2018,1,HAVO,1,74.8,89,74,0
432509,1,Arnhem,2013,IN-4479,230,16,Man,2,INF,6/30/2015,1,HAVO,1,100.0,99,60,?
432912,44,Zuiden,2013,INF,220,8,Man,3,INF,7/1/2014,1,HAVO,1,100.0,47,64,?
433428,38,Noord Gld Overijssel,2013,INN,244,24,Man,3,Niet Behaald,0,0,HAVO,0,0.0,65,49,?
433774,26,Den Bosch Eindhoven,2014,INF,239,25,Man,3,INF,6/27/2016,1,HAVO,1,86.7,81,68,?
434364,2,Nijmegen,2015,ICT,261,31,Man,5,ICT,6/30/2017,1,HAVO,1,7.2,32,43,0
434405,6,Zevenaar,2013,IN-4479,239,24,Man,2,CMD,6/27/2016,1,HAVO,1,100.0,45,38,?
434993,17,Nijmegen,2015,ICT,260,14,Man,3,Niet Behaald,0,0,HAVO,1,28.9,66,53,0
436332,102,Westen,2014,IN-4479,281,28,Man,3,Niet Behaald,0,0,HAVO,1,49.4,67,54,?
437890,10,Nijmegen,2013,IN-4479,243,23,Man,2,Niet Behaald,0,0,HAVO,0,28.6,44,47,?
438269,10,Nijmegen,2013,BIM,231,24,Man,3,BIM,7/1/2014,1,HAVO,1,100.0,88,62,?
438293,12,Zevenaar,2018,ICT,300,31,Man,4,Niet Behaald,0,0,HAVO,1,18.6,65,67,0
439305,4,Arnhem,2014,IN-4479,292,28,Man,3,Niet Behaald,0,0,MBO,?,21.6,68,39,?
440050,4,Arnhem,2014,IN-4479,228,24,Man,4,Niet Behaald,0,0,HAVO,1,46.8,70,69,?
441140,3,Arnhem,2013,IN-4479,236,24,Man,3,INF,7/1/2014,1,HAVO,1,100.0,80,64,?
441171,0,Arnhem,2014,BIM,244,25,Vrouw,3,CMD,6/27/2016,1,Buitenlands,?,73.3,50,48,?
443579,4,Arnhem,2013,IN-4479,244,24,Man,2,Niet Behaald,0,0,HAVO,1,100.0,72,43,?
443796,18,Nijmegen,2015,ICT,347,30,Man,1,Niet Behaald,0,0,VWO,1,5.4,65,65,0
443991,29,Doetinchem,2014,IN-4479,258,25,Man,4,INF,6/30/2015,1,HAVO,1,71.9,84,67,?
445966,20,Ede Wageningen,2014,TIF,271,28,Man,2,Niet Behaald,0,0,MBO,?,2.7,0,0,?
449295,6,Arnhem,2014,IN-4479,263,28,Man,3,Niet Behaald,0,0,Buitenlands,?,12.8,57,33,?
450914,7,Arnhem,2013,IN-4479,215,24,Man,2,INF,7/1/2014,1,HAVO,1,100.0,79,63,?
450923,19,Ede Wageningen,2013,IN-4479,217,20,Man,2,INF,6/30/2015,1,HAVO,1,100.0,76,64,?
452245,6,Nijmegen,2016,ICT,264,26,Man,2,ICT,6/30/2017,1,MBO,1,55.8,93,70,0
453145,25,Den Bosch Eindhoven,2014,BIM,234,27,Man,4,Niet Behaald,0,0,HAVO,1,38.8,75,68,?
454009,19,Ede Wageningen,2013,IN-4479,281,31,Man,1,Niet Behaald,0,0,VWO,0,75.0,92,70,?
454723,12,Zevenaar,2013,IN-4479,224,23,Man,2,INF,8/28/2015,1,HAVO,1,75.0,76,56,?
455591,3,Arnhem,2013,TIF,228,16,Man,2,TIF,7/1/2014,1,VWO,1,100.0,87,67,?
455599,14,Nijmegen,2014,IN-4479,204,25,Man,2,Niet Behaald,0,0,HAVO,1,12.0,43,39,?
455614,6,Zevenaar,2013,IN-4479,210,21,Man,2,TIF,6/30/2015,1,HAVO,1,100.0,72,50,?
456105,21,Doetinchem,2013,IN-4479,231,20,Man,2,INF,6/30/2015,1,HAVO,1,100.0,83,69,?
456335,2,Arnhem,2014,IN-4479,238,29,Vrouw,3,INF,6/30/2015,1,HAVO,1,96.8,80,81,?
456647,17,Doetinchem,2013,IN-4479,211,26,Man,2,INF,7/1/2014,1,HAVO,1,100.0,81,69,?
456741,29,Doetinchem,2013,IN-4479,206,21,Man,3,INF,7/1/2014,1,HAVO,1,100.0,69,49,?
456746,12,Zevenaar,2013,IN-4479,202,26,Man,1,Niet Behaald,0,0,HAVO,0,100.0,48,45,?
456861,22,Ede Wageningen,2013,IN-4479,206,21,Man,2,TIF,6/30/2015,1,HAVO,1,100.0,80,54,?
456976,27,Doetinchem,2013,IN-4479,218,24,Man,2,INF,6/30/2015,1,HAVO,1,100.0,81,70,?
457542,103,Westen,2013,IN-4479,213,20,Man,1,CMD,6/30/2015,1,HAVO,1,100.0,62,45,?
457589,1,Arnhem,2013,IN-4479,207,20,Man,2,INF,7/1/2014,1,HAVO,1,100.0,49,57,?
459343,25,Doetinchem,2013,BIMA,207,20,Man,2,Niet Behaald,0,0,HAVO,0,100.0,53,53,?
459364,21,Doetinchem,2013,IN-4479,206,26,Man,3,TIF,6/30/2015,1,HAVO,1,85.7,63,56,?
460215,6,Arnhem,2013,IN-4479,216,24,Man,2,INF,7/1/2014,1,HAVO,1,100.0,96,76,?
460454,24,Doetinchem,2015,BIM,241,31,Man,3,Niet Behaald,0,0,HAVO,1,54.3,97,75,?
460771,12,Nijmegen,2013,INF,217,21,Man,2,INF,6/30/2015,1,HAVO,1,100.0,75,72,?
461153,39,Doetinchem,2013,IN-4479,220,16,Man,2,INF,6/30/2015,1,HAVO,1,100.0,80,63,?
461642,25,Ede Wageningen,2014,INF,267,25,Man,3,Niet Behaald,0,0,HAVO,1,39.8,81,61,?
461768,4,Arnhem,2013,IN-4479,210,24,Man,2,INF,7/1/2014,1,HAVO,1,85.7,69,66,?
461776,21,Ede Wageningen,2013,BIM,195,16,Man,2,INF,6/30/2015,1,HAVO,1,100.0,90,69,?
461787,9,Nijmegen,2013,IN-4479,214,16,Man,2,INF,6/30/2015,1,HAVO,1,71.4,92,67,?
461800,3,Nijmegen,2014,INF,237,26,Man,2,Niet Behaald,0,0,HAVO,1,76.6,43,50,?
461921,59,Utrecht,2013,IN-4479,219,26,Man,2,INF,6/30/2015,1,HAVO,1,87.5,88,70,?
461949,1,Arnhem,2014,IN-4479,230,25,Man,4,INF,6/27/2016,1,HAVO,1,72.2,84,63,?
461951,15,Zevenaar,2013,BIM,244,24,Man,2,BIM,6/30/2015,1,MBO,?,100.0,70,43,?
462070,28,Apeldoorn,2013,IN-4479,206,20,Man,2,INF,7/1/2014,1,HAVO,1,100.0,88,69,?
462170,14,Nijmegen,2013,IN-4479,210,24,Man,2,INF,7/1/2014,1,HAVO,1,100.0,85,60,?
462171,10,Nijmegen,2013,IN-4479,216,24,Man,2,INF,7/1/2014,1,HAVO,1,100.0,79,59,?
462537,24,Apeldoorn,2013,BIM,221,23,Man,2,BIM,6/30/2015,1,HAVO,1,100.0,68,54,?
462626,18,Arnhem,2018,ICT,297,25,Man,4,Niet Behaald,0,0,HAVO,1,8.7,76,47,0
462817,16,Zevenaar,2014,IN-4479,267,28,Man,3,Niet Behaald,0,0,MBO,?,100.0,69,71,?
462944,0,Arnhem,2013,IN-4479,216,24,Man,2,Niet Behaald,0,0,MBO,1,100.0,71,44,?
463071,3,Arnhem,2014,IN-4479,253,25,Man,2,INF,6/30/2015,1,MBO,?,85.2,65,65,?
463389,44,Zuiden,2013,INN,209,21,Man,1,Niet Behaald,0,0,HAVO,0,100.0,83,62,?
463504,30,Veenendaal,2013,IN-4479,220,24,Man,2,INF,6/30/2015,1,HAVO,1,100.0,91,62,?
463505,6,Nijmegen,2013,TIF,197,21,Man,2,TIF,6/30/2015,1,HAVO,1,100.0,72,48,?
463749,1,Arnhem,2014,BIM,256,25,Man,3,Niet Behaald,0,0,MBO,?,80.0,43,39,?
464149,0,Arnhem,2013,IN-4479,246,24,Man,1,INF,7/1/2014,1,HAVO,1,100.0,99,76,?
464199,21,Ede Wageningen,2013,IN-4479,209,23,Man,2,INF,7/1/2014,1,HAVO,1,100.0,68,58,?
464341,35,Zuiden,2014,INF,265,27,Man,2,Niet Behaald,0,0,MBO,?,56.7,76,66,?
464414,21,Doetinchem,2013,IN-4479,208,26,Man,2,INF,7/1/2014,1,HAVO,1,100.0,82,75,?
464442,8,Nijmegen,2014,IN-4479,230,26,Man,4,INF,6/27/2016,1,HAVO,1,91.4,75,57,?
464526,2,Arnhem,2014,BIMA,228,27,Man,3,CMD,6/30/2015,1,MBO,?,84.5,55,63,?
464743,1,Arnhem,2014,IN-4479,216,25,Man,3,INF,6/30/2015,1,HAVO,1,62.5,85,66,?
464833,28,Veenendaal,2013,IN-4479,205,24,Man,2,INF,6/30/2015,1,HAVO,1,100.0,90,63,?
464839,1,Arnhem,2014,BIM,315,28,Man,3,ICT,8/31/2017,1,Buitenlands,?,0.0,52,56,?
464885,105,Westen,2014,BIM,268,25,Man,3,BIM,1/30/2015,1,Anders,?,60.0,91,74,?
464912,53,Veenendaal,2013,IN-4479,213,26,Man,1,Niet Behaald,0,0,HAVO,0,100.0,51,49,?
464974,14,Arnhem,2013,IN-4479,210,23,Man,2,Niet Behaald,0,0,HAVO,1,100.0,75,59,?
465007,8,Nijmegen,2013,IN-4479,204,24,Man,1,Niet Behaald,0,0,HAVO,1,50.0,77,60,?
465108,12,Zevenaar,2018,ICT,324,8,Man,2,ICT,6/26/2019,1,VWO,1,36.1,75,81,0
465342,145,Noorden,2013,IN-4479,219,20,Man,2,INF,7/1/2014,1,HAVO,1,100.0,73,75,?
465395,3,Arnhem,2013,IN-4479,210,23,Man,2,INF,7/1/2014,1,HAVO,1,100.0,95,78,?
465525,144,Noorden,2017,ICT,292,26,Man,1,Niet Behaald,0,0,MBO,1,98.1,66,66,1
465537,76,Zuiden,2014,TIF,217,28,Man,3,Niet Behaald,0,0,HAVO,1,85.7,78,58,?
465633,84,Westen,2013,IN-4479,204,26,Man,2,INF,7/1/2014,1,HAVO,1,100.0,79,78,?
465687,70,Den Bosch Eindhoven,2014,BIM,237,29,Man,3,Niet Behaald,0,0,HAVO,1,37.5,21,42,?
465717,24,Doetinchem,2015,ICT,236,31,Man,3,ICT,6/27/2016,1,HAVO,1,79.4,80,66,0
465771,0,Arnhem,2013,TIF,234,26,Man,2,TIF,6/30/2015,1,HAVO,1,100.0,82,53,?
465773,22,Ede Wageningen,2013,BIM,216,20,Man,2,BIM,6/30/2015,1,HAVO,1,100.0,87,63,?
465788,27,Veenendaal,2013,IN-4479,222,20,Man,2,INF,7/1/2014,1,HAVO,1,100.0,72,65,?
465808,26,Apeldoorn,2014,IN-4479,217,28,Man,2,BIM,6/27/2016,1,HAVO,1,35.6,71,65,?
465901,22,Nijmegen,2014,IN-4479,240,26,Man,4,CMD,6/30/2017,1,HAVO,1,74.1,67,61,?
466128,1,Nijmegen,2015,ICT,240,31,Man,2,ICT,6/27/2016,1,VWO,1,84.8,94,73,0
466451,14,Nijmegen,2013,BIMA,209,23,Man,1,CMD,6/30/2015,1,HAVO,1,100.0,83,47,?
466485,5,Arnhem,2013,TIF,219,26,Man,2,TIF,6/30/2015,1,HAVO,1,100.0,67,48,?
466530,6,Zevenaar,2013,IN-4479,203,23,Man,3,INF,7/1/2014,1,HAVO,1,100.0,96,75,?
466538,2,Arnhem,2016,ICT,289,31,Man,4,ICT,6/30/2017,1,HAVO,0,47.6,80,85,0
466575,1,Nijmegen,2014,INF,241,31,Man,4,Niet Behaald,0,0,HAVO,1,66.2,49,56,?
466999,12,Nijmegen,2014,INF,239,26,Man,3,INF,6/30/2015,1,HAVO,1,84.3,75,68,?
467103,15,Ede Wageningen,2013,IN-4479,210,23,Man,2,INF,6/30/2015,1,HAVO,1,100.0,47,56,?
467143,31,Apeldoorn,2013,IN-4479,224,26,Man,2,INF,6/30/2015,1,VWO,1,100.0,85,73,?
467147,31,Apeldoorn,2013,BIMA,206,26,Man,3,INF,7/1/2014,1,HAVO,1,100.0,89,69,?
467172,15,Nijmegen,2014,INF,222,25,Man,3,Niet Behaald,0,0,HAVO,1,78.0,32,41,?
467291,5,Nijmegen,2014,BIM,239,26,Man,3,Niet Behaald,0,0,HAVO,1,24.0,67,48,?
467360,2,Nijmegen,2013,TIF,244,21,Man,2,TIF,6/30/2015,1,HAVO,1,100.0,74,61,?
467374,35,Deventer,2013,IN-4479,215,26,Man,2,INF,7/1/2014,1,HAVO,1,100.0,68,80,?
467413,3,Arnhem,2018,ICT,280,31,Man,1,Niet Behaald,0,0,HAVO,1,34.1,74,54,0
467421,30,Utrecht,2014,INF,237,27,Man,4,Niet Behaald,0,0,HAVO,0,43.9,57,54,?
467472,37,Noord Gld Overijssel,2013,TIF,215,24,Man,2,TIF,6/30/2015,1,HAVO,1,100.0,80,62,?
467482,18,Nijmegen,2014,IN-4479,311,26,Man,3,INF,6/30/2015,1,Anders,?,77.2,84,74,?
467770,34,Deventer,2014,IN-4479,226,24,Man,2,INF,6/27/2016,1,HAVO,1,90.7,92,58,?
467771,36,Utrecht,2013,TIF,218,20,Man,2,TIF,7/1/2014,1,HAVO,1,100.0,24,61,?
468170,4,Arnhem,2014,BIM,253,25,Man,2,BIM,6/30/2015,1,MBO,?,87.2,69,60,?
468300,1,Nijmegen,2019,ICT,354,36,Man,3,Niet Behaald,0,0,MBO,?,45.6,56,56,0
468622,62,Noorden,2013,TIF,225,26,Man,2,TIF,6/30/2015,1,HAVO,1,100.0,78,54,?
468683,3,Arnhem,2013,BIMA,229,21,Vrouw,1,BIM,7/1/2014,1,VWO,1,100.0,97,65,?
468806,23,Apeldoorn,2014,TIF,228,25,Man,2,TIF,6/27/2016,1,HAVO,1,71.4,79,59,?
468840,0,Arnhem,2014,IN-4479,253,33,Man,2,Niet Behaald,0,0,MBO,?,24.6,39,43,?
468849,27,Utrecht,2014,IN-4479,258,24,Man,2,INF,6/30/2015,1,MBO,?,92.0,92,77,?
468902,1,Arnhem,2013,IN-4479,205,20,Man,1,Niet Behaald,0,0,HAVO,0,100.0,44,50,?
469269,6,Nijmegen,2013,INF,208,23,Man,2,INF,6/30/2015,1,HAVO,1,0.0,64,53,?
469271,22,Apeldoorn,2013,IN-4479,249,26,Man,2,INF,6/30/2015,1,MBO,?,100.0,44,54,?
469339,4,Nijmegen,2014,INF,247,26,Man,4,Niet Behaald,0,0,MBO,?,48.0,55,49,?
469375,20,Ede Wageningen,2013,IN-4479,294,23,Man,1,Niet Behaald,0,0,Overige,0,100.0,92,59,?
469408,78,Zuiden,2014,IN-4479,252,27,Man,3,Niet Behaald,0,0,Anders,?,15.6,44,44,?
469688,3,Arnhem,2013,IN-4479,227,20,Man,2,INF,6/30/2015,1,HAVO,1,57.1,61,69,?
470057,2,Arnhem,2013,TIF,247,24,Man,2,INF,6/30/2015,1,HAVO,1,100.0,82,56,?
470291,31,Utrecht,2013,IN-4479,207,23,Man,1,Niet Behaald,0,0,HAVO,0,100.0,48,40,?
470313,22,Ede Wageningen,2013,IN-4479,218,26,Man,2,INF,6/30/2015,1,HAVO,1,100.0,82,60,?
470402,16,Nijmegen,2013,IN-4479,253,21,Man,3,INF,7/1/2014,1,MBO,?,100.0,78,67,?
470617,3,Nijmegen,2014,INF,237,27,Vrouw,2,Niet Behaald,0,0,HAVO,1,91.1,74,65,?
470679,31,Utrecht,2013,TIF,222,23,Man,2,TIF,6/30/2015,1,HAVO,1,100.0,47,49,?
470895,3,Arnhem,2013,BIM,266,24,Man,2,BIM,1/29/2016,1,MBO,?,85.7,62,54,?
470901,2,Arnhem,2013,IN-4479,237,24,Man,2,INF,7/1/2014,1,VWO,1,100.0,95,71,?
470963,3,Arnhem,2014,IN-4479,235,25,Man,3,Niet Behaald,0,0,HAVO,1,40.0,51,52,?
470965,26,Apeldoorn,2013,IN-4479,209,26,Man,1,Niet Behaald,0,0,HAVO,0,100.0,61,60,?
470973,82,Westen,2013,IN-4479,265,23,Man,1,Niet Behaald,0,0,VWO,0,100.0,70,44,?
471583,0,Arnhem,2013,TIF,252,26,Man,2,TIF,7/1/2014,1,HAVO,1,100.0,73,60,?
471588,43,Apeldoorn,2014,INF,256,31,Man,4,Niet Behaald,0,0,MBO,?,26.7,47,39,?
471724,25,Noord Gld Overijssel,2013,IN-4479,319,16,Man,2,INF,6/30/2015,1,MBO,?,100.0,79,44,?
471754,21,Zevenaar,2018,ICT,281,31,Man,1,Niet Behaald,0,0,HAVO,1,84.2,78,61,0
471766,5,Nijmegen,2014,INF,225,25,Man,4,TIF,6/27/2016,1,HAVO,1,25.3,83,68,?
471828,1,Nijmegen,2013,INF,263,21,Man,2,INF,6/30/2015,1,VWO,1,100.0,82,76,?
472070,20,Ede Wageningen,2015,ICT,249,29,Man,1,Niet Behaald,0,0,HAVO,1,42.4,82,51,1
472894,5,Nijmegen,2019,ICT,290,35,Man,3,Niet Behaald,0,0,HAVO,1,89.6,84,74,0
472975,10,Den Bosch Eindhoven,2015,INF,242,31,Man,1,INF,6/27/2016,1,HAVO,1,92.0,87,64,?
473272,84,Westen,2013,IN-4479,237,24,Man,2,Niet Behaald,0,0,HAVO,0,100.0,84,53,?
473588,69,Noord Gld Overijssel,2013,IN-4479,315,20,Man,2,INF,6/30/2015,1,VWO,1,100.0,81,85,?
474124,8,Arnhem,2014,BIM,243,29,Man,4,Niet Behaald,0,0,HAVO,1,0.0,29,45,?
474566,3,Arnhem,2014,IN-4479,285,28,Man,2,Niet Behaald,0,0,MBO,?,28.0,37,36,?
474578,13,Zevenaar,2014,IN-4479,254,25,Man,2,Niet Behaald,0,0,MBO,?,95.0,72,57,?
474603,36,Deventer,2014,IN-4479,266,25,Man,2,Niet Behaald,0,0,MBO,?,47.4,17,40,?
475080,19,Arnhem,2018,ICT,275,26,Man,2,ICT,6/26/2019,1,HAVO,1,98.3,46,72,1
475089,17,Doetinchem,2014,IN-4479,242,24,Man,1,Niet Behaald,0,0,MBO,?,86.4,55,65,?
475166,72,Noord Gld Overijssel,2014,IN-4479,243,24,Man,1,Niet Behaald,0,0,MBO,?,92.3,60,70,?
475392,51,Zuiden,2014,IN-4479,241,25,Man,2,Niet Behaald,0,0,MBO,?,85.2,64,52,?
475399,3,Arnhem,2014,IN-4479,281,25,Man,2,Niet Behaald,0,0,VWO,1,4.5,60,72,?
475547,66,Den Bosch Eindhoven,2014,IN-4479,237,25,Man,2,Niet Behaald,0,0,HAVO,1,2.9,81,81,?
476009,2,Arnhem,2014,IN-4479,296,25,Man,2,INF,6/30/2015,1,MBO,?,93.1,73,69,?
476020,15,Zevenaar,2014,TIF,261,25,Man,2,TIF,6/30/2015,1,MBO,?,90.4,78,72,?
476036,4,Zevenaar,2014,IN-4479,249,25,Man,2,INF,6/30/2015,1,MBO,?,96.9,82,76,?
476040,31,Utrecht,2014,IN-4479,259,25,Man,2,Niet Behaald,0,0,MBO,?,43.1,68,54,?
476043,0,Arnhem,2014,IN-4479,236,25,Man,2,INF,6/30/2015,1,MBO,?,100.0,93,71,?
476061,57,Noorden,2014,IN-4479,210,24,Vrouw,2,INF,6/27/2016,1,HAVO,1,81.4,46,50,?
476129,4,Arnhem,2014,IN-4479,214,25,Man,2,INF,6/27/2016,1,HAVO,1,62.1,73,68,?
476145,8,Arnhem,2014,IN-4479,355,28,Vrouw,2,BIM,6/27/2016,1,Buitenlands,?,85.4,92,68,?
476147,28,Doetinchem,2015,ICT,225,31,Man,4,ICT,6/30/2017,1,HAVO,1,65.2,97,66,0
476262,18,Nijmegen,2014,BIM,272,28,Vrouw,2,Niet Behaald,0,0,MBO,?,83.6,56,34,?
476468,2,Arnhem,2014,IN-4479,359,25,Man,1,CMD,6/30/2017,1,MBO,0,43.1,82,63,?
476833,67,Noord Gld Overijssel,2014,IN-4479,249,25,Man,1,Niet Behaald,0,0,HAVO,0,0.0,40,41,?
476842,19,Ede Wageningen,2014,IN-4479,268,25,Man,2,Niet Behaald,0,0,MBO,?,70.0,69,65,?
476876,25,Den Bosch Eindhoven,2014,INF,222,25,Man,2,BIM,6/27/2016,1,HAVO,1,83.5,64,59,?
476895,1,Nijmegen,2014,BIM,251,28,Vrouw,3,ICT,6/27/2016,1,MBO,?,73.8,85,61,?
476952,49,Zuiden,2015,ICT,222,22,Man,2,Niet Behaald,0,0,HAVO,1,77.5,60,51,0
477042,117,Westen,2014,IN-4479,255,25,Man,2,INF,6/27/2016,1,Anders,?,87.5,74,63,?
477343,1,Arnhem,2014,IN-4479,231,25,Man,2,Niet Behaald,0,0,MBO,?,40.0,77,68,?
477376,52,Den Bosch Eindhoven,2014,INF,212,26,Man,2,INF,6/30/2015,1,HAVO,1,93.4,75,75,?
